,model,train_r2,test_r2,mae,rmse,mape,mdape
0,Linear Regression,0.8283326984960242,0.7855062616398266,169924.6763114034,521.4711067975246,21.738001419855564,13.369922579016658
1,Decision Tree,0.6594557006517934,0.6706159465261126,227005.19873139862,580.5000189451124,28.059529957937173,19.888418457818872
2,Random Forest,0.9871505602834741,0.908278395584058,100438.83246725463,421.691169348469,10.555294692268761,6.926255356603353
3,XGBoost,0.9690487437847563,0.9163717199089984,97572.89350284173,412.0642021660584,10.284017933210198,6.944413614860537
